timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
53153053,53148821,40.1517789167051,116.25797190537243,49.989697,49.822002,0.16504557,0.76811457,0.84999996,nan,2,2,0,0
53166336,53161097,40.15177891573644,116.25797190493724,49.989674,49.82198,0.16504557,0.7681274,0.850013,nan,2,2,0,0
53353790,53349341,40.15177890105802,116.25797190589954,49.97708,49.81143,0.16504557,0.5074953,0.4558677,nan,2,2,0,0
53553420,53549194,40.1517789180115,116.25797190241997,49.967358,49.803364,0.16504557,0.43778488,0.43157727,nan,2,2,0,0
53749916,53745931,40.15177882004785,116.25797180511438,49.9654,49.80444,0.16504557,0.40468726,0.4231197,nan,2,2,0,0
53953012,53949736,40.1517787621271,116.25797168063181,49.967445,49.80855,0.16504557,0.38571617,0.41929162,nan,2,2,0,0
54154090,54149180,40.151778750747084,116.25797161919404,49.96881,49.81012,0.16504557,0.37374136,0.41834602,nan,2,2,0,0
54349937,54345931,40.151778771658954,116.25797162777441,49.968094,49.810997,0.16504557,0.36515042,0.41669413,nan,2,2,0,0
54553599,54549420,40.15177875985182,116.25797165166625,49.965458,49.808002,0.16504557,0.3594182,0.41594633,nan,2,2,0,0
54753654,54749416,40.151778764963474,116.25797165670036,49.961586,49.80617,0.16504557,0.35500747,0.4152078,nan,2,2,0,0
54945792,54941438,40.15177881792705,116.25797163514096,49.958435,49.80464,0.16504557,0.35197762,0.41482455,nan,2,2,0,0
55150015,55145715,40.15177881355965,116.25797161198481,49.957935,49.80469,0.16504557,0.34965935,0.41442564,nan,2,2,0,0
55349510,55345244,40.15177881956789,116.25797161559677,49.95573,49.80245,0.16504557,0.34735867,0.41375557,nan,2,2,0,0
55553365,55548866,40.15177882465815,116.2579715841359,49.951275,49.799747,0.16504557,0.3455867,0.41319877,nan,2,2,0,0
55750099,55746247,40.15177880659323,116.25797153889793,49.94872,49.800713,0.16504557,0.3442667,0.41276494,nan,2,2,0,0
55953852,55949632,40.15177879393632,116.25797153371025,49.949203,49.80155,0.16504557,0.34411213,0.41276893,nan,2,2,0,0
56145653,56141158,40.15177879741131,116.2579715294127,49.94777,49.80212,0.16504557,0.34292695,0.41272083,nan,2,2,0,0
56345662,56341247,40.15177879682041,116.25797154081334,49.944195,49.800644,0.16504557,0.34255755,0.41247767,nan,2,2,0,0
56553048,56548747,40.15177876905813,116.25797155280958,49.938778,49.796814,0.16504557,0.34268925,0.4119456,nan,2,2,0,0
56745656,56741368,40.15177876098145,116.25797158425017,49.93568,49.79702,0.16504557,0.3459184,0.41254118,nan,2,2,0,0
56945816,56941612,40.15177876924579,116.25797164125876,49.93832,49.80183,0.16504557,0.34269822,0.41209838,nan,2,2,0,0
57153382,57149414,40.15177877635628,116.25797165686605,49.94012,49.804768,0.16504557,0.34258988,0.41191444,nan,2,2,0,0
57353931,57350692,40.15177876822999,116.25797165143776,49.93821,49.803673,0.16504557,0.34323987,0.41157514,nan,2,2,0,0
